timestamp,stage,used_mb,total_mb
1781336569.6309645,baseline,1571,15360
1781336569.6648867,idle,1571,15360
1781336569.8744924,load_index,1571,15360
1781336569.8882313,load_index,1571,15360
1781336569.9039762,load_embedding,1571,15360
1781336570.1170702,load_embedding,1571,15360
1781336570.341419,load_embedding,1571,15360
1781336570.5659347,load_embedding,1571,15360
1781336570.7898214,load_embedding,1571,15360
1781336571.014081,load_embedding,1571,15360
1781336571.238091,load_embedding,1571,15360
1781336571.4614184,load_embedding,1571,15360
1781336571.6853988,load_embedding,1571,15360
1781336571.9095619,load_embedding,1571,15360
1781336572.1330466,load_embedding,1571,15360
1781336572.650567,load_embedding,1571,15360
1781336572.8804412,load_embedding,1571,15360
1781336573.1087258,load_embedding,1571,15360
1781336573.3398333,load_embedding,1571,15360
1781336573.5846775,load_embedding,1571,15360
1781336573.8132734,load_embedding,1571,15360
1781336574.052916,load_embedding,1571,15360
1781336574.2779865,load_embedding,1571,15360
1781336574.5067105,load_embedding,1571,15360
1781336574.7477045,load_embedding,1571,15360
1781336574.9714499,load_embedding,1571,15360
1781336575.2168407,load_embedding,1571,15360
1781336575.4400797,load_embedding,1571,15360
1781336575.663514,load_embedding,1571,15360
1781336575.8883924,load_embedding,1571,15360
1781336576.1184719,load_embedding,1571,15360
1781336576.3456361,load_embedding,1571,15360
1781336576.5692103,load_embedding,1571,15360
1781336576.7974315,load_embedding,1571,15360
1781336577.0270922,load_embedding,1571,15360
1781336577.3571107,load_embedding,1571,15360
1781336577.6042917,load_embedding,1571,15360
1781336577.8290498,load_embedding,1571,15360
1781336578.2231889,load_embedding,1571,15360
1781336578.4719808,load_embedding,1571,15360
1781336578.7180102,load_embedding,1571,15360
1781336578.9578726,load_embedding,1571,15360
1781336579.2033987,load_embedding,1571,15360
1781336579.447756,load_embedding,1571,15360
1781336579.680932,load_embedding,1571,15360
1781336579.941005,load_embedding,1571,15360
1781336580.2088208,load_embedding,1571,15360
1781336580.5675533,load_embedding,1571,15360
1781336580.912163,load_embedding,1571,15360
1781336581.1363072,load_embedding,1571,15360
1781336581.3694487,load_embedding,1571,15360
1781336582.972645,load_embedding,1571,15360
1781336583.2325535,load_embedding,1571,15360
1781336583.45737,load_embedding,2041,15360
1781336583.623331,load_llm,2135,15360
1781336583.6798651,load_llm,2135,15360
1781336583.903309,load_llm,2135,15360
1781336584.132045,load_llm,3187,15360
1781336584.5934389,load_llm,3825,15360
1781336584.613113,retrieve,3825,15360
1781336584.7946289,generate,3873,15360
1781336584.8159444,generate,3877,15360
1781336585.0422392,generate,3895,15360
1781336585.266159,generate,3895,15360
1781336585.4895613,generate,3895,15360
1781336585.6291401,finished,3895,15360
